Wertpapier,Gewichtung,Annualisierte Rendite,Annualisierte Volatilität,Renditebeitrag,Risikobeitrag
TLT,0.4,0.005469385340598481,0.1499993726043782,0.0021877541362393927,0.002649419010144394
SPY,0.3,0.15585383206521403,0.18038250371582254,0.04675614961956421,0.0018626000716287707
IEF,0.15,0.014442555400050862,0.06641849693399432,0.002166383310007629,0.0004264163960738466
GLD,0.075,0.14644553737297136,0.14749866765577058,0.010983415302972852,0.00030537245768092033
DBC,0.075,0.08342677537150162,0.17593182818552017,0.006257008152862621,0.0002301690176283426
